n_per_cluster,fibers_center,fibers_radius,point_in_matrix,vf,matrix_properties,fibers_properties,mesh_size
1,"((0.30544199573488795, 0.3322429081774272), (0.723570682197827, 0.0242035761217263), (0.723570682197827, 1.0242035761217263), (0.723570682197827, 1.0242035761217263), (0.6197859472312229, 0.6657902769930912), (0.5724667451878395, 0.1155542766858837), (0.5481015876666644, 0.48795805922319113), (0.13657395957676044, 0.6942032688234221), (0.2814011377658544, 0.7208625528728274), (0.44201729013985247, 0.7113868213922111), (0.9055957764166219, 0.22210098019190117), (0.37468312346879873, 0.9200126235124229), (0.15445845998320273, 0.9830199721686901), (0.15445845998320273, -0.01698002783130992), (0.15445845998320273, -0.01698002783130992), (0.8030027484476417, 0.5182604305164831), (0.9779859816969384, 0.44160370066579335), (-0.0220140183030616, 0.44160370066579335), (-0.0220140183030616, 0.44160370066579335), (0.7645824647589275, 0.663504356074706), (0.1148505514245668, 0.34272485612853765), (0.6965137978859293, 0.23611330396517405), (0.8486159762898852, 0.7939935357120061), (0.11300621266249711, 0.505325721493031), (0.38315569160833296, 0.22085311409948138), (0.01446806390897093, 0.6195791611174126), (1.014468063908971, 0.6195791611174126), (1.014468063908971, 0.6195791611174126), (0.4701839289580251, 0.3295604094673038), (0.834878092330442, 0.34183411071809455), (0.21360170649410282, 0.13930451588970982), (0.40372429221625683, 0.46798201551296803), (0.6694194105216661, 0.8088074586594132), (0.8678525395295809, 0.010400969615267819), (0.8678525395295809, 1.0104009696152678), (0.8678525395295809, 1.0104009696152678), (0.25396118070338713, 0.5113468890573056), (0.13733318332612865, 0.831854702200652), (0.02775357026812242, 0.15915694962815463), (1.0277535702681224, 0.15915694962815463), (1.0277535702681224, 0.15915694962815463), (0.017950316455328297, 0.9033945462906624), (1.0179503164553283, 0.9033945462906624), (1.0179503164553283, 0.9033945462906624))",0.057709583910476855,"(0.6799999999999999, 0.4)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.4281823020180167, 0.2698444682956676), (0.34565780897485576, 0.4297719858812594), (0.8294327262328698, 0.01848239456052736), (0.8294327262328698, 1.0184823945605275), (0.8294327262328698, 1.0184823945605275), (0.5641816742444693, 0.17447806485556605), (0.6887302443959383, 0.7388301287897118), (0.4934069374545863, 0.6895482383257188), (0.8117177936525345, 0.3536679289412481), (0.7052851372592487, 0.21396250976096165), (0.17146468433787299, 0.34531169154148555), (0.4807495191658673, 0.4570929166775145), (0.9084100242687471, 0.13337461263271522), (0.19855668314801878, 0.8875000938458312), (0.8771083109675277, 0.5075054799238687), (0.9998110416433352, 0.38075193639439897), (-0.00018895835666477012, 0.38075193639439897), (-0.00018895835666477012, 0.38075193639439897), (0.9715533174971004, 0.010837996031169306), (-0.028446682502899612, 0.010837996031169306), (0.9715533174971004, 1.0108379960311693), (-0.028446682502899612, 1.0108379960311693), (-0.028446682502899612, 0.010837996031169306), (0.9715533174971004, 1.0108379960311693), (-0.028446682502899612, 1.0108379960311693), (0.8987123292754154, 0.796297779767768), (0.5299545381261215, 0.8460941362393295), (0.3418857747887173, 0.1503149156924024), (0.5669165467463546, 0.34233691351417916), (0.09730707271488515, 0.47973217834367765), (0.6631657008476407, 0.605041030303171), (0.4972713006885965, 0.007992629959683195), (0.4972713006885965, 1.0079926299596833), (0.4972713006885965, 1.0079926299596833), (0.7201961705800408, 0.8957353960213406), (0.34087808100350037, 0.6080238558245447), (0.12131302776033992, 0.7408720323741258), (0.3978298763783412, 0.7950910809742452), (0.15411374690557367, 0.17672702784104588), (0.023781530418275354, 0.6306568675902111), (1.0237815304182754, 0.6306568675902111), (1.0237815304182754, 0.6306568675902111), (0.2645777618545623, 0.7217349087173738), (0.6688117987089687, 0.4508805455582716))",0.057709583910476855,"(0.82, 0.65)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.8237323790122862, 0.15945990971540036), (0.8913651348311857, 0.33599482722540197), (0.21505409691726607, 0.12736028876200067), (0.24581721224903152, 0.39637148984769166), (0.23271780317707103, 0.5737593998358665), (0.33011793259566447, 0.7870546413264762), (0.13922837655379305, 0.9769758792913531), (0.13922837655379305, -0.0230241207086469), (0.13922837655379305, -0.0230241207086469), (0.5369696344888866, 0.8895587651687914), (0.9833943952272183, 0.13383994912053387), (-0.016605604772781724, 0.13383994912053387), (-0.016605604772781724, 0.13383994912053387), (0.7730024957720361, 0.5188449072272107), (0.684511224088681, 0.9957711672837194), (0.684511224088681, -0.004228832716280606), (0.684511224088681, -0.004228832716280606), (0.09010179445503574, 0.7857758661472343), (0.536575392670091, 0.6501120799824314), (0.5786296055478237, 0.4137352337545178), (0.7341411670898474, 0.6830595211264779), (0.8663803851559652, 0.7410529926776638), (0.3341544099930194, 0.2587916815768685), (0.09030390629244645, 0.6232568050804843), (0.534440325013103, 0.2824418357395603), (0.3905198048880373, 0.5895026629738507), (0.6194718109576676, 0.7737580236169386), (0.08923648936378425, 0.34170003509535507), (0.5676671879116438, 0.12563838627888124), (0.9129399580514324, 0.5474846310718562), (0.8065287075111565, 0.9038214347721752), (0.7507347854786751, 0.3415062258567292), (0.3168792131925072, 0.002473572248589462), (0.3168792131925072, 1.0024735722485896), (0.3168792131925072, 1.0024735722485896), (0.9134659041407208, 0.01409785558828558), (0.9134659041407208, 1.0140978555882856), (0.9134659041407208, 1.0140978555882856), (0.9766721933212003, 0.8847605511909619), (-0.023327806678799745, 0.8847605511909619), (-0.023327806678799745, 0.8847605511909619), (0.41820858548945117, 0.4521574946225341))",0.057709583910476855,"(0.41000000000000003, 0.12000000000000001)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.6902312481015126, 0.4040864424402262), (0.20370561789046882, 0.38447152246890126), (0.30598083736873927, 0.9063379130953123), (0.774131252666199, 0.8023320283130172), (0.5961171467746633, 0.5658743543639367), (0.9005459156441489, 0.22770094423731713), (0.1359284423622955, 0.5226610028785186), (0.8298636006895568, 0.6191874815842509), (0.258820173770423, 0.7761740374566336), (0.315313862795327, 0.23914465328996481), (0.4542429603002729, 0.403825155353315), (0.43655247874477154, 0.7876415100117857), (0.9864621227951963, 0.33704370953821405), (-0.013537877204803705, 0.33704370953821405), (-0.013537877204803705, 0.33704370953821405), (0.3430653246615938, 0.5782025725692724), (0.5445758272139757, 0.1539631307464806), (0.08405702272264803, 0.7232682112290767), (0.5956492404536522, 0.7717365478769025), (0.009513927807870304, 0.6103197322508419), (1.0095139278078702, 0.6103197322508419), (1.0095139278078702, 0.6103197322508419), (0.17967268300995343, 0.12388481669279738), (0.7329504528863952, 0.1882954207605958), (0.871404819729335, 0.9807027890129437), (0.871404819729335, -0.01929721098705628), (0.871404819729335, -0.01929721098705628), (0.028525268154417582, 0.09952169794025745), (1.0285252681544175, 0.09952169794025745), (1.0285252681544175, 0.09952169794025745), (0.5149849088798805, 0.008957060113839455), (0.5149849088798805, 1.0089570601138393), (0.5149849088798805, 1.0089570601138393), (0.8423344676563874, 0.41936187610854414), (0.3461204040416037, 0.08879072642382779), (0.6991952259796765, 0.6839401212697714), (0.6232339058062767, 0.27187061071428176), (0.16593823332380409, 0.8959931748068878), (0.025078126074482676, 0.861040168716584), (1.0250781260744826, 0.861040168716584), (1.0250781260744826, 0.861040168716584), (0.7037285770827394, 0.01568659917366244), (0.7037285770827394, 1.0156865991736623), (0.7037285770827394, 1.0156865991736623))",0.057709583910476855,"(0.12000000000000001, 0.26)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.268821835930329, 0.3052994953158291), (0.41720225113252296, 0.39706777266127347), (0.8078468017903241, 0.6218058573587035), (0.7291528982138746, 0.1162570495267713), (0.26120230094067776, 0.4780402213778454), (0.5071218597155482, 0.7546715197402588), (0.26341813053349816, 0.12236772456646372), (0.22497287633532437, 0.71351084424743), (0.5404997087805927, 0.6026944729069132), (0.7443476619087736, 0.8771365679680024), (0.8914715503561378, 0.7459514530898538), (0.001020699686028581, 0.14194870138959048), (1.0010206996860287, 0.14194870138959048), (1.0010206996860287, 0.14194870138959048), (0.20772347599276475, 0.913703162638366), (0.6710367011322271, 0.4047698958936876), (0.46702511417223924, 0.15458517841263886), (0.9812707458288754, 0.3854417942507421), (-0.018729254171124587, 0.3854417942507421), (-0.018729254171124587, 0.3854417942507421), (0.3566201902865913, 0.823257556972833), (0.8546013111932286, 0.2697894087736892), (0.986618822173998, 0.5403361548848766), (-0.013381177826002011, 0.5403361548848766), (-0.013381177826002011, 0.5403361548848766), (0.5401821314111841, 0.9221243304167253), (0.11965242654461727, 0.4697811410913575), (0.6829131718976597, 0.7555402630588606), (0.02537456774519553, 0.9908501088350753), (1.0253745677451955, 0.9908501088350753), (0.02537456774519553, -0.009149891164924706), (1.0253745677451955, -0.009149891164924706), (1.0253745677451955, 0.9908501088350753), (0.02537456774519553, -0.009149891164924706), (1.0253745677451955, -0.009149891164924706), (0.4015256681943944, 0.013887432780954057), (0.4015256681943944, 1.0138874327809542), (0.4015256681943944, 1.0138874327809542), (0.009187438409002935, 0.6737863839247459), (1.009187438409003, 0.6737863839247459), (1.009187438409003, 0.6737863839247459), (0.3953731648954808, 0.614274871430651), (0.8233839807461155, 0.45028781595413014), (0.15475610787836702, 0.21247927256637045), (0.1310392649886285, 0.604972856693895), (0.5874646244293744, 0.07932023416069067))",0.057709583910476855,"(0.61, 0.25)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.23739535974107207, 0.8826596167109148), (0.6964161931219657, 0.3914323935241343), (0.1184115160934508, 0.354972275881707), (0.8917578271917614, 0.1957337514900972), (0.5826535049412976, 0.5493861346019447), (0.4454219426430047, 0.47950451658068505), (0.17153567029325156, 0.5782776090988361), (0.5869003450169847, 0.9928037115390007), (0.5869003450169847, -0.007196288460999289), (0.5869003450169847, -0.007196288460999289), (0.0001368501713547854, 0.6026949209108186), (1.0001368501713548, 0.6026949209108186), (1.0001368501713548, 0.6026949209108186), (0.8070339512545225, 0.7216555768333662), (0.6762254217281207, 0.2149478605171029), (0.3085265790515639, 0.0944103306113585), (0.4083119753578005, 0.9945254420653326), (0.4083119753578005, -0.0054745579346674456), (0.4083119753578005, -0.0054745579346674456), (0.28304771717144384, 0.43883285418702567), (0.7193435390270355, 0.8948195661190351), (0.4550739463089829, 0.14863522829221565), (0.49772122140451713, 0.8487876580259374), (0.3286050399466548, 0.27456246477014135), (0.9031044222678992, 0.8269110728249397), (0.08827918274426627, 0.9932435668838313), (0.08827918274426627, -0.006756433116168692), (0.08827918274426627, -0.006756433116168692), (0.5308982628321394, 0.7069242827183726), (0.28377571924476463, 0.6895290826102309), (0.824843157517529, 0.49101609338702146), (0.1711063132807289, 0.7641129316003487), (0.3923693299622535, 0.6070927927194787), (0.9106529433943705, 0.9759048449757025), (0.9106529433943705, -0.024095155024297488), (0.9106529433943705, -0.024095155024297488), (0.7950076677555147, 0.2935449289080352), (0.5520564101780784, 0.38925846067574665), (0.6938094875649391, 0.6417610558117053), (0.9989823668114186, 0.44663109880716323), (-0.0010176331885813905, 0.44663109880716323), (-0.0010176331885813905, 0.44663109880716323))",0.057709583910476855,"(0.14, 0.17)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.42963474605537705, 0.4003334328724965), (0.661101203559821, 0.5601715639017192), (0.7590158828602416, 0.702344577555393), (0.8622183047242656, 0.5283603694196007), (0.5056668476669869, 0.8286634907957893), (0.16392869584754144, 0.3253965698629303), (0.026884315079243604, 0.2981522571856905), (1.0268843150792435, 0.2981522571856905), (1.0268843150792435, 0.2981522571856905), (0.026166764769340545, 0.5566876296938754), (1.0261667647693407, 0.5566876296938754), (1.0261667647693407, 0.5566876296938754), (0.15026294617776348, 0.9981553314494626), (0.15026294617776348, -0.0018446685505374427), (0.15026294617776348, -0.0018446685505374427), (0.7062167141460809, 0.1351315715177731), (0.30696614759244045, 0.20177428968657862), (0.34182893714172247, 0.7614657620525443), (0.17007760410440975, 0.46308291548381264), (0.9055849694613353, 0.8144147080812217), (0.32663337154003913, 0.0036206763618858995), (0.32663337154003913, 1.0036206763618858), (0.32663337154003913, 1.0036206763618858), (0.809903638582267, 0.24149615903950783), (0.6798531238496205, 0.0010610211859729546), (0.6798531238496205, 1.001061021185973), (0.6798531238496205, 1.001061021185973), (0.9937061485467646, 0.01624426728048134), (-0.006293851453235355, 0.01624426728048134), (0.9937061485467646, 1.0162442672804812), (-0.006293851453235355, 1.0162442672804812), (-0.006293851453235355, 0.01624426728048134), (0.9937061485467646, 1.0162442672804812), (-0.006293851453235355, 1.0162442672804812), (0.5704625538086386, 0.4248012153699471), (0.17600731536937486, 0.7208508247744937), (0.5211986995954767, 0.6385478234706797), (0.8430859260513994, 0.08623145440917868), (0.2994723109735812, 0.34386041685322655), (0.747815018286814, 0.8653791084742236), (0.9766294548691711, 0.1705205208551529), (-0.023370545130828924, 0.1705205208551529), (-0.023370545130828924, 0.1705205208551529), (0.5764692067529057, 0.17972627875458957), (0.020404149238401725, 0.7047947335014813), (1.0204041492384017, 0.7047947335014813), (1.0204041492384017, 0.7047947335014813), (0.8031330701024099, 0.37960297563249856), (0.22470061337042402, 0.8714542742736928), (0.3187114542213202, 0.48178491987032157))",0.057709583910476855,"(0.14, 0.16)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.49164006417788847, 0.6232235268307732), (0.19208949222646066, 0.09673065993663377), (0.5800735114245754, 0.4027125512897468), (0.8192943102101883, 0.9756266037773226), (0.8192943102101883, -0.024373396222677424), (0.8192943102101883, -0.024373396222677424), (0.5990752477980786, 0.7381675903485696), (0.7652522599873327, 0.45056974686507456), (0.5474535446224266, 0.13213090114625425), (0.7438548243669971, 0.7162528505114288), (0.3610744428142644, 0.8062407925665876), (0.6604734159876194, 0.21831035891182193), (0.02049456550936124, 0.3578726873809577), (1.0204945655093614, 0.3578726873809577), (1.0204945655093614, 0.3578726873809577), (0.36872793381196034, 0.479919849652681), (0.018876732927957884, 0.9051563537679507), (1.018876732927958, 0.9051563537679507), (1.018876732927958, 0.9051563537679507), (0.021294885754819082, 0.19527933179604107), (1.021294885754819, 0.19527933179604107), (1.021294885754819, 0.19527933179604107), (0.14214467467192626, 0.45403409257040184), (0.21389722077364726, 0.920249848028286), (0.8276764591687342, 0.586758933882993), (0.4385965593227005, 0.22391802321584475), (0.08213760390050961, 0.6283000968597053), (0.5407630298731718, 0.9086834809738064), (0.41449973272818574, 0.02062662040743224), (0.41449973272818574, 1.0206266204074321), (0.41449973272818574, 1.0206266204074321), (0.3019654845119074, 0.35398241393972707), (0.2816924486093997, 0.2046896507713698), (0.8300616563591509, 0.12792943815231028), (0.8301192480862709, 0.29736396172279334), (0.1413597778813801, 0.2694796170829322), (0.660560730552217, 0.9918954956095606), (0.660560730552217, -0.008104504390439415), (0.660560730552217, -0.008104504390439415), (0.2369364619772153, 0.5879226438388702), (0.6427963335451793, 0.5501565228499949), (0.13848992405274563, 0.7582093247144684))",0.057709583910476855,"(0.9, 0.78)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.5474235943167327, 0.2126948043129298), (0.4588276774663468, 0.6473972241992955), (0.46852210741676314, 0.811173699982743), (0.9834411393347077, 0.8396301492801989), (-0.01655886066529233, 0.8396301492801989), (-0.01655886066529233, 0.8396301492801989), (0.23592989777351492, 0.7729692747535326), (0.8898569829071964, 0.27179132169723497), (0.2987739752115497, 0.3823453941631568), (0.8266559006754498, 0.028740604777110934), (0.8266559006754498, 1.028740604777111), (0.8266559006754498, 1.028740604777111), (0.1242502806108754, 0.4316567972319243), (0.691539096809969, 0.9789760815285095), (0.691539096809969, -0.021023918471490544), (0.691539096809969, -0.021023918471490544), (0.8995938234953884, 0.6830811428012034), (0.1680738637331184, 0.265556783007978), (0.7912286322180109, 0.7907076229372852), (0.6451048247804102, 0.5807605446751651), (0.02227770775998894, 0.3337667438577959), (1.022277707759989, 0.3337667438577959), (1.022277707759989, 0.3337667438577959), (0.1150397128526146, 0.13992811758184232), (0.537197222704235, 0.47261122098565567), (0.6939169070355339, 0.3653111505920835), (0.1511049944849785, 0.5784309474147611), (0.28771813563951865, 0.9862473684046846), (0.28771813563951865, -0.013752631595315368), (0.28771813563951865, -0.013752631595315368), (0.971280456744285, 0.5332835380769098), (-0.02871954325571502, 0.5332835380769098), (-0.02871954325571502, 0.5332835380769098), (0.5355351210239784, 0.9916266126244928), (0.5355351210239784, -0.00837338737550719), (0.5355351210239784, -0.00837338737550719), (0.9840324128540334, 0.0835894201534928), (-0.015967587145966577, 0.0835894201534928), (-0.015967587145966577, 0.0835894201534928), (0.36876374178548077, 0.10454248232634444), (0.3344548398147158, 0.5531441631105943), (0.658098473006038, 0.7676671179371757), (0.8489083799854824, 0.449911778152671), (0.43611207830732146, 0.34582111731089926), (0.7806928348733942, 0.6139843652088499), (0.3170154567171185, 0.2304202936453057))",0.057709583910476855,"(0.73, 0.18)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
1,"((0.6429012339990509, 0.6844171782274868), (0.7000071900101885, 0.28959112111583585), (0.8140959730891404, 0.1887363543821141), (0.3717219603484436, 0.3935738184311055), (0.2903656536263183, 0.8669607293239696), (0.022521655205734126, 0.1485999827347032), (1.0225216552057341, 0.1485999827347032), (1.0225216552057341, 0.1485999827347032), (0.5184320438326838, 0.2812303664926512), (0.2457105275908964, 0.6236682222530425), (0.7570584296234338, 0.013232080552474379), (0.7570584296234338, 1.0132320805524744), (0.7570584296234338, 1.0132320805524744), (0.12854729702213297, 0.8112146529770331), (0.6903299870175952, 0.5078056577894023), (0.9107299828338966, 0.6320586134979307), (0.5093159086000836, 0.6229757982720248), (0.9980622778601594, 0.35604530435218507), (-0.0019377221398405586, 0.35604530435218507), (-0.0019377221398405586, 0.35604530435218507), (0.46592471232212207, 0.7794248627372989), (0.5879684832416711, 0.8366784719525021), (0.17090347850373544, 0.5022340681824013), (0.6201480360174404, 0.11308923206065846), (0.43577581255321407, 0.16825368434546073), (0.8355470168850172, 0.37428736197353496), (0.24531951151447495, 0.17899399376543557), (0.01859659685422077, 0.7245730546860765), (1.0185965968542208, 0.7245730546860765), (1.0185965968542208, 0.7245730546860765), (0.8026160655921242, 0.7892642559755627), (0.6252056150010991, 0.9722505594042303), (0.6252056150010991, -0.02774944059576967), (0.6252056150010991, -0.02774944059576967), (0.8933668910117869, 0.00975280303873094), (0.8933668910117869, 1.0097528030387308), (0.8933668910117869, 1.0097528030387308), (0.22405128083853498, 0.015373251123451337), (0.22405128083853498, 1.0153732511234512), (0.22405128083853498, 1.0153732511234512), (0.511376494715884, 0.47735336958191676), (0.19448752982058826, 0.30768496212979013), (0.4569251375212665, 0.9838440884905898), (0.4569251375212665, -0.016155911509410203), (0.4569251375212665, -0.016155911509410203), (0.9940814114017891, 0.8701054505184141), (-0.005918588598210928, 0.8701054505184141), (-0.005918588598210928, 0.8701054505184141))",0.057709583910476855,"(0.38, 0.55)",0.31388243529427295,"(100000000000, 0.3, 400000000, 375399972.319151, 0.43715937974437735)","(392517254086.9344, 0.25)",0.0066,30
